group,value
Treatment,5.814837735309618
Treatment,6.734008019722067
Treatment,4.249632518646081
Treatment,4.062898714548886
Treatment,11.092430194298204
Treatment,14.557699287079522
Treatment,7.127745171721768
Treatment,12.204032732289644
Treatment,8.853545608565774
Treatment,5.351838371352939
Treatment,8.852481389853962
Treatment,15.942974838900914
Treatment,7.257874231955468
Treatment,16.156490022236696
Treatment,1.9939696444035306
Treatment,11.144557389012425
Treatment,7.717755119491166
Treatment,6.362976842008066
Treatment,7.735966194657102
Treatment,2.73523004184195
Treatment,6.6204547178122315
Treatment,8.833543935158136
Treatment,15.470686230165782
Treatment,5.702273134466682
Treatment,4.932042480738401
Control,3.2975913543700877
Control,7.204403513707561
Control,10.960745448480722
Control,12.41741538210223
Control,5.711199593366725
Control,4.070479984322349
Control,3.7064297476517725
Control,0.15544216391469606
Control,6.46111802759807
Control,6.967363487333577
Control,4.384030966548841
Control,2.164727876905084
Control,12.646783939735275
Control,4.92849662597432
Control,0.9157826510597036
Control,5.406958189570831
Control,3.5046940505709845
Control,7.087967911816499
Control,4.062386401312818
Control,6.434976631398414
Control,4.971471234189138
Control,2.558167588684414
Control,8.631883332154985
Control,12.655748671860774
Control,12.563328922883645
Control,28.35302495589238
Control,23.20780064971736
Control,21.86518510399854
